User castorr91 | Points added: 20 | Raw Data: @badges=broadcaster/1,subscriber/0;color=#B002AD;display-name=castorr91;emotes=;id=5802313f-c3ec-4878-918a-707990cbcdd4;mod=0;room-id=30393896;subscriber=1;tmi-sent-ts=1520912281369;turbo=0;user-id=30393896;user-type= :castorr91!castorr91@castorr91.tmi.twitch.tv PRIVMSG #castorr91 :test6
User castorr91 | Points added: 20 | Raw Data: @badges=broadcaster/1,subscriber/0;color=#B002AD;display-name=castorr91;emotes=;id=c14e2785-072d-4dbe-8a77-ded730f3e159;mod=0;room-id=30393896;subscriber=1;tmi-sent-ts=1520912337337;turbo=0;user-id=30393896;user-type= :castorr91!castorr91@castorr91.tmi.twitch.tv PRIVMSG #castorr91 :test7
User castorr91 | Points added: 20 | Raw Data: @badges=broadcaster/1,subscriber/0;color=#B002AD;display-name=castorr91;emotes=;id=d80e5633-1d8c-4b2e-8249-f4b393f9621b;mod=0;room-id=30393896;subscriber=1;tmi-sent-ts=1520924295604;turbo=0;user-id=30393896;user-type= :castorr91!castorr91@castorr91.tmi.twitch.tv PRIVMSG #castorr91 :test 1
User castorr91 | Points added: 20 | Raw Data: @badges=broadcaster/1,subscriber/0;color=#B002AD;display-name=castorr91;emotes=;id=388ca41b-d0ae-4bd5-8794-8dd6ea350766;mod=0;room-id=30393896;subscriber=1;tmi-sent-ts=1520972290081;turbo=0;user-id=30393896;user-type= :castorr91!castorr91@castorr91.tmi.twitch.tv PRIVMSG #castorr91 :testing msg-param-ritual-name=new_chatter
User castorr91 | Points added: 20 | Raw Data: @badges=broadcaster/1,subscriber/0;color=#B002AD;display-name=castorr91;emotes=;id=ab3e8230-9492-48ee-a00b-55875f99c2ce;mod=0;room-id=30393896;subscriber=1;tmi-sent-ts=1520972418712;turbo=0;user-id=30393896;user-type= :castorr91!castorr91@castorr91.tmi.twitch.tv PRIVMSG #castorr91 :testing msg-param-ritual-name=new_chatter
User coura17 | Points added: 20 | Raw Data: @badges=;color=#FF69B4;display-name=coura17;emotes=30259:0-6;id=4617748d-1aaf-434d-8270-6893a2921e02;login=coura17;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@coura17\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521337759611;turbo=0;user-id=139210988;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User rebelleTV | Points added: 20 | Raw Data: @badges=;color=#FF69B4;display-name=rebelleTV;emotes=81274:0-5;id=74e51377-49b9-4740-b647-bbc75a91c3bf;login=rebelletv;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@rebelleTV\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521337928351;turbo=0;user-id=142991687;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User netairo | Points added: 20 | Raw Data: @badges=;color=#FF69B4;display-name=netairo;emotes=30259:0-6;id=39b9e3d6-3fc6-4087-a234-6725a8ef6383;login=netairo;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@netairo\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521339703246;turbo=0;user-id=49788927;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User xBillTheButcher | Points added: 20 | Raw Data: @badges=premium/1;color=#8A2BE2;display-name=xBillTheButcher;emotes=30259:0-6;id=483ed391-6511-41a8-ad29-66f06e08f4c0;login=xbillthebutcher;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@xBillTheButcher\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521339793149;turbo=0;user-id=89520930;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User omgwhiskey | Points added: 20 | Raw Data: @badges=;color=;display-name=omgwhiskey;emotes=64138:0-8;id=c8521293-cc4a-4fbd-a818-6e86b7a7ae09;login=omgwhiskey;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@omgwhiskey\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340001767;turbo=0;user-id=206362915;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User TheWorstPirateNA | Points added: 20 | Raw Data: @badges=premium/1;color=;display-name=TheWorstPirateNA;emotes=30259:0-6;id=dc49697b-4c74-47b4-bf3e-27d7061c3ffb;login=theworstpiratena;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@TheWorstPirateNA\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340108195;turbo=0;user-id=71032011;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
